ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
BburgChrORF_BB0831_at			-1.672	1.773
BburgChrORF_BB0844_at			2.251	2.36
BburgPlaORF_BBA02_at			1.774	1.74
BburgPlaORF_BBA03_at			3.516	3.545
BburgPlaORF_BBA04_at			3.203	2.545
BburgPlaORF_BBA06_at			2.522	1.822
BburgPlaORF_BBA07_at			2.973	2.735
BburgPlaORF_BBA13_at			2.292	2.079
BburgPlaORF_BBA14_at			4.093	2.968
BburgPlaORF_BBA15_at			4.061	4.174
BburgPlaORF_BBA16_at			4.223	4.271
BburgPlaORF_BBA19_at			1.747	1.683
BburgPlaORF_BBA20_at			2.563	2.045
BburgPlaORF_BBA22_x_at			3.174	3.351
BburgPlaORF_BBA24_at			2.636	2.676
BburgPlaORF_BBA25_at			2.052	2.18
BburgPlaORF_BBA34_at			2.696	2.618
BburgPlaORF_BBA36_at			3.197	3.434
BburgPlaORF_BBA37_at			2.88	3.015
BburgPlaORF_BBA41_at			1.712	1.822
BburgPlaORF_BBA52_at			2.81	2.861
BburgPlaORF_BBA53_at			2.293	2.055
BburgPlaORF_BBA54_at			3.496	3.373
BburgPlaORF_BBA55_at			1.924	1.873
BburgPlaORF_BBA59_x_at			4.25	4.097
BburgPlaORF_BBA60_at			3.268	3.137
BburgPlaORF_BBA62_at			3.334	3.558
BburgPlaORF_BBA64_at			4.365	3.046
BburgPlaORF_BBA66_at			6.3	4.125
BburgPlaORF_BBA68_at			2.709	2.478
BburgPlaORF_BBA69_at			2.389	2.515
BburgPlaORF_BBA71_at			4.434	2.644
BburgPlaORF_BBA72_at			2.601	2.706
BburgPlaORF_BBA73_at			4.191	3.815
BburgPlaORF_BBA74_at			1.907	2.132
BburgPlaORF_BBB19_at			3.081	3.336
BburgPlaORF_BBC05_at			2.43	1.77
BburgPlaORF_BBC07_at			2.619	2.544
BburgPlaORF_BBC08_at			3.276	2.099
BburgPlaORF_BBC12_at			2.25	2.354
BburgPlaORF_BBD05_s_at			3.431	2.028
BburgPlaORF_BBD15.01_x_at			2.774	2.607
BburgPlaORF_BBD18_at			-1.601	1.731
BburgPlaORF_BBE06_at			1.891	1.683
BburgPlaORF_BBE08_x_at			2.314	2.173
BburgPlaORF_BBE15_at			4.874	2.822
BburgPlaORF_BBE16_at			5.313	3.483
BburgPlaORF_BBE17_at			5.678	4.989
BburgPlaORF_BBE18_at			3.056	1.906
BburgPlaORF_BBE20_at			3.321	1.965
BburgPlaORF_BBE21.1_x_at			3.286	2.908
BburgPlaORF_BBE21_at			5.796	4.088
BburgPlaORF_BBE22_at			6.375	5.152
BburgPlaORF_BBE23_at			2.862	2.732
BburgPlaORF_BBE29.1_x_at			3.536	2.351
BburgPlaORF_BBE31_at			4.724	3.678
BburgPlaORF_BBF16_s_at			-3.657	3.201
BburgPlaORF_BBF26_x_at			-1.985	1.856
BburgPlaORF_BBF32_at			-2.227	2.453
BburgPlaORF_BBG16_at			4.198	2.167
BburgPlaORF_BBG20_at			2.252	1.796
BburgPlaORF_BBG21_at			1.705	1.849
BburgPlaORF_BBG24_at			1.765	1.658
BburgPlaORF_BBH06_at			-5.565	4.761
BburgPlaORF_BBH12_at			2.237	2.131
BburgPlaORF_BBH13_at			-5.398	4.113
BburgPlaORF_BBH18_at			-4.137	2.642
BburgPlaORF_BBH31_at			-1.718	1.809
BburgPlaORF_BBH32_at			-2.255	2.213
BburgPlaORF_BBH34_at			3.45	1.826
BburgPlaORF_BBH37_at			-4.219	3.662
BburgPlaORF_BBI02_s_at			4.122	1.91
BburgPlaORF_BBI04_at			1.985	1.856
BburgPlaORF_BBI05_at			4.108	2.682
BburgPlaORF_BBI06_at			4.615	4.078
BburgPlaORF_BBI11_at			4.037	3.919
BburgPlaORF_BBI15_x_at			2.501	2.403
BburgPlaORF_BBI16_at			5.926	3.657
BburgPlaORF_BBI17_at			3.587	3.673
BburgPlaORF_BBI18_at			2.029	1.683
BburgPlaORF_BBI19_at			3.319	3.301
BburgPlaORF_BBI21_at			4.464	2.271
BburgPlaORF_BBI24_x_at			3.824	2.816
BburgPlaORF_BBI27_x_at			3.271	2.977
BburgPlaORF_BBI29_at			5.775	4.719
BburgPlaORF_BBI31_at			3.958	2.634
BburgPlaORF_BBI34_at			4.315	3.584
BburgPlaORF_BBI36_s_at			3.909	3.418
BburgPlaORF_BBI41_x_at			5.255	4.544
BburgPlaORF_BBJ02_s_at			2.554	2.118
BburgPlaORF_BBJ38_at			2.255	2.242
BburgPlaORF_BBJ45.1_at			2.477	2.23
BburgPlaORF_BBK18_x_at			-3.199	2.26
BburgPlaORF_BBK53_s_at			1.573	1.707
BburgPlaORF_BBL05_s_at			-1.995	2.161
BburgPlaORF_BBL09_s_at			-2.268	2.122
BburgPlaORF_BBL14_x_at			-2.923	2.354
BburgPlaORF_BBL28_at			1.687	1.805
BburgPlaORF_BBM28_x_at			2.415	2.522
BburgPlaORF_BBM32_at			2.012	1.798
BburgPlaORF_BBM38_at			2.373	2.635
BburgPlaORF_BBN14_x_at			-3.482	3.126
BburgPlaORF_BBO39_at			2.81	3.071
BburgPlaORF_BBO40_at			1.746	1.829
BburgPlaORF_BBP28_x_at			2.301	2.603
BburgPlaORF_BBQ01_x_at			3.086	3.334
BburgPlaORF_BBQ03_at			3.815	3.363
BburgPlaORF_BBQ05_at			4.333	3.587
BburgPlaORF_BBQ06_x_at			5.571	4.698
BburgPlaORF_BBQ07_at			3.914	3.284
BburgPlaORF_BBQ18_at			2.257	1.721
BburgPlaORF_BBQ35_at			4.083	3.236
BburgPlaORF_BBQ40_at			2.312	2.016
BburgPlaORF_BBQ41_at			3.091	3.282
BburgPlaORF_BBQ47_at			2.846	1.656
BburgPlaORF_BBQ57_at			2.022	1.961
BburgPlaORF_BBQ59_at			2.892	2.019
BburgPlaORF_BBQ68_x_at			3.93	2.818
BburgPlaORF_BBQ78_at			3.868	3.077
BburgPlaORF_BBR22_at			2.43	2.551
BburgPlaORF_BBR39_at			2.105	1.704
