ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
SauMu50ChORFSAV0429_s_at			3.291	1.681
SauMu50ChORFSAV0430_s_at			2.347	2.168
SauMu50ChORFSAV0432_s_at			2.598	2.494
SauMu50ChORFSAV0433_s_at			3.161	2.702
SauMu50ChORFSAV0434_s_at			3.921	2.185
SauMu50ChORFSAV0435_at			2.645	1.807
SauMu50ChORFSAV0439_s_at			5.421	4.452
SauMu50ChORFSAV0444_s_at			3.19	2.459
SauMu50ChORFSAV0447_s_at			4.489	2.834
SauMu50ChORFSAV0451_s_at			3.937	3.072
SauMu50ChORFSAV0452_s_at			2.827	2.716
SauMu50ChORFSAV0453_s_at			2.985	2.462
SauMu50ChORFSAV0454_s_at			3.374	2.202
SauMu50ChORFSAV0457_s_at			2.736	1.873
SauMu50ChORFSAV0468_s_at			2.122	1.697
SauMu50ChORFSAV0470_s_at			2.539	1.677
SauMu50ChORFSAV0473_s_at			2.662	2.469
SauMu50ChORFSAV0477_s_at			3.291	3.4
SauMu50ChORFSAV0478_s_at			4.718	4.328
SauMu50ChORFSAV0479_s_at			3.535	3.47
SauMu50ChORFSAV0483_s_at			2.347	2.255
SauMu50ChORFSAV0485_s_at			2.168	2.148
SauMu50ChORFSAV0489_s_at			3.219	1.814
SauMu50ChORFSAV0490_s_at			2.933	2.698
SauMu50ChORFSAV0491_s_at			2.052	2.004
SauMu50ChORFSAV0492_s_at			1.82	1.732
SauMu50ChORFSAV0493_s_at			2.399	2.335
SauMu50ChORFSAV0495_s_at			3.495	2.278
SauMu50ChORFSAV0498_s_at			3.422	1.782
SauMu50ChORFSAV0499_s_at			2.922	2.712
SauMu50ChORFSAV0502_s_at			3.08	1.711
SauMu50ChORFSAV0503_s_at			3.082	1.951
SauMu50ChORFSAV0504_s_at			2.594	2.292
SauMu50ChORFSAV0506_s_at			3.413	2.02
SauMu50ChORFSAV0507_s_at			3.058	1.83
SauMu50ChORFSAV0508_s_at			3.172	1.84
SauMu50ChORFSAV0509_s_at			2.014	2.049
SauMu50ChORFSAV0510_s_at			2.673	2.855
SauMu50ChORFSAV0512_s_at			2.847	1.843
SauMu50ChORFSAV0514_s_at			1.713	1.812
SauMu50ChORFSAV0515_s_at			2.216	2.488
SauMu50ChORFSAV0517_s_at			2.826	2.749
SauMu50ChORFSAV0519_s_at			2.463	1.782
SauMu50ChORFSAV0521_s_at			2.457	2.253
SauMu50ChORFSAV0524_s_at			2.889	2.072
SauMu50ChORFSAV0525_s_at			2.499	1.732
SauMu50ChORFSAV0527_s_at			3.55	2.766
SauMu50ChORFSAV0530_s_at			2.432	1.725
SauMu50ChORFSAV0531_s_at			3.585	2.202
SauMu50ChORFSAV0533_s_at			3.271	2.49
SauMu50ChORFSAV0534_s_at			3.029	2.624
SauMu50ChORFSAV0535_s_at			2.86	2.442
SauMu50ChORFSAV0538_s_at			3.183	2.69
SauMu50ChORFSAV0540_s_at			2.754	2.517
SauMu50ChORFSAV0542_s_at			2.881	2.338
SauMu50ChORFSAV0544_s_at			2.801	1.633
SauMu50ChORFSAV0546_s_at			3.039	2.548
SauMu50ChORFSAV0551_s_at			2.712	2.506
SauMu50ChORFSAV0554_s_at			3.152	2.802
SauMu50ChORFSAV0555_s_at			2.289	2.508
SauMu50ChORFSAV0556_s_at			3.902	2.073
SauMu50ChORFSAV0558_s_at			2.783	2.249
SauMu50ChORFSAV0569_s_at			2.747	1.876
SauMu50ChORFSAV0571_s_at			3.463	2.703
SauMu50ChORFSAV0577_s_at			2.392	2.106
SauMu50ChORFSAV0578_s_at			3.433	2.662
SauMu50ChORFSAV0581_s_at			2.681	1.874
SauMu50ChORFSAV0582_s_at			3.221	1.854
SauMu50ChORFSAV0590_s_at			2.288	1.659
SauMu50ChORFSAV0591_s_at			2.381	2.047
SauMu50ChORFSAV0592_s_at			2.074	1.933
SauMu50ChORFSAV0593_s_at			2.443	2.353
SauMu50ChORFSAV0600_s_at			2.219	2.381
SauMu50ChORFSAV0601_s_at			3.046	1.862
SauMu50ChORFSAV0602_s_at			2.895	1.933
SauMu50ChORFSAV0604_s_at			2.196	2.213
SauMu50ChORFSAV0605_s_at			3.194	2.871
SauMu50ChORFSAV0606_s_at			2.926	2.013
SauMu50ChORFSAV0607_s_at			2.835	2.884
SauMu50ChORFSAV0609_s_at			2.456	2.503
SauMu50ChORFSAV0611_s_at			4.414	3.803
SauMu50ChORFSAV0612_s_at			2.77	2.516
SauMu50ChORFSAV0617_s_at			4.76	2.935
SauMu50ChORFSAV0619_s_at			2.545	2.419
SauMu50ChORFSAV0622_s_at			4.015	2.406
SauMu50ChORFSAV0623_s_at			3.813	2.023
SauMu50ChORFSAV0625_s_at			3.763	3.362
SauMu50ChORFSAV0628_s_at			3.254	2.426
SauMu50ChORFSAV0629_s_at			3.513	2.841
SauMu50ChORFSAV0633_s_at			3.602	2.286
SauMu50ChORFSAV0634_s_at			2.392	1.784
SauMu50ChORFSAV0635_s_at			2.927	2.246
SauMu50ChORFSAV0638_s_at			3.094	1.654
SauMu50ChORFSAV0639_s_at			3.573	2.436
SauMu50ChORFSAV0640_s_at			4.541	2.538
SauMu50ChORFSAV0645_s_at			3.283	2.856
SauMu50ChORFSAV0646_s_at			2.755	2.005
SauMu50ChORFSAV0648_s_at			2.58	2.578
SauMu50ChORFSAV0651_s_at			1.632	1.635
SauMu50ChORFSAV0652_s_at			3.134	1.642
SauMu50ChORFSAV0655_s_at			4.19	3.008
SauMu50ChORFSAV0657_s_at			2.413	1.914
SauMu50ChORFSAV0658_s_at			2.174	1.762
SauMu50ChORFSAV0660_s_at			2.668	2.54
SauMu50ChORFSAV0663_s_at			2.707	2.879
SauMu50ChORFSAV0665_s_at			3.295	2.432
SauMu50ChORFSAV0669_s_at			2.863	1.733
SauMu50ChORFSAV0670_s_at			2.369	2.059
SauMu50ChORFSAV0674_s_at			2.563	1.865
SauMu50ChORFSAV0675_s_at			2.96	2.492
SauMu50ChORFSAV0676_s_at			2.408	2.055
SauMu50ChORFSAV0678_s_at			3.194	1.89
SauMu50ChORFSAV0679_s_at			4.48	3.008
SauMu50ChORFSAV0680_s_at			2.983	1.886
SauMu50ChORFSAV0681_s_at			2.413	2.271
SauMu50ChORFSAV0685_s_at			3.157	2.168
SauMu50ChORFSAV0687_s_at			4.4	2.782
SauMu50ChORFSAV0688_s_at			1.832	1.94
SauMu50ChORFSAV0697_s_at			3.383	3.158
SauMu50ChORFSAV0699_s_at			2.253	2.165
SauMu50ChORFSAV0701_s_at			1.928	1.863
SauMu50ChORFSAV0703_s_at			2.203	1.868
SauMu50ChORFSAV0705_s_at			3.171	2.459
SauMu50ChORFSAV0707_s_at			2.124	1.896
SauMu50ChORFSAV0710_s_at			3.405	2.576
SauMu50ChORFSAV0714_s_at			2.424	2.353
SauMu50ChORFSAV0716_s_at			3.477	3.09
SauMu50ChORFSAV0719_s_at			1.909	2.001
SauMu50ChORFSAV0722_s_at			1.943	2.005
SauMu50ChORFSAV0723_s_at			1.92	1.832
SauMu50ChORFSAV0727_s_at			2.769	1.932
SauMu50ChORFSAV0731_s_at			2.886	2.985
SauMu50ChORFSAV0733_s_at			2.498	2.015
SauMu50ChORFSAV0735_s_at			2.608	1.788
SauMu50ChORFSAV0738_s_at			2.154	1.966
SauMu50ChORFSAV0745_s_at			3.608	2.078
SauMu50ChORFSAV0746_s_at			2.623	2.022
SauMu50ChORFSAV0750_s_at			3.842	1.856
SauMu50ChORFSAV0751_s_at			2.731	2.511
SauMu50ChORFSAV0757_s_at			3.617	2.019
SauMu50ChORFSAV0759_s_at			2.896	3.031
SauMu50ChORFSAV0760_s_at			2.978	3.157
SauMu50ChORFSAV0761_s_at			3.245	2.788
SauMu50ChORFSAV0768_s_at			3.544	1.993
SauMu50ChORFSAV0769_s_at			2.031	2.102
SauMu50ChORFSAV0773_s_at			2.302	2.39
SauMu50ChORFSAV0774_s_at			2.663	2.687
SauMu50ChORFSAV0775_s_at			2.855	2.243
SauMu50ChORFSAV0777_s_at			5.037	4.652
SauMu50ChORFSAV0778_s_at			1.962	1.664
SauMu50ChORFSAV0780_at			3.035	2.42
SauMu50ChORFSAV0780_s_at			3.273	2.987
SauMu50ChORFSAV0783_at			3.068	2.936
SauMu50ChORFSAV0789_x_at			3.561	1.788
SauMu50ChORFSAV0791_at			2.847	2.106
SauMu50ChORFSAV0792_s_at			2.523	1.909
SauMu50ChORFSAV0806_s_at			3.242	1.812
SauMu50ChORFSAV0816_s_at			2.48	2.227
SauMu50ChORFSAV0817_s_at			3.101	2.635
SauMu50ChORFSAV0818_s_at			3.163	1.731
SauMu50ChORFSAV0819_s_at			2.23	1.837
SauMu50ChORFSAV0820_s_at			3.383	2.517
SauMu50ChORFSAV0821_s_at			3.559	1.937
SauMu50ChORFSAV0823_s_at			2.576	1.781
SauMu50ChORFSAV0828_s_at			3.717	2.942
SauMu50ChORFSAV0832_s_at			2.333	1.798
SauMu50ChORFSAV0840_x_at			2.693	2.834
SauMu50ChORFSAV0842_s_at			2.541	2.494
SauMu50ChORFSAV0843_s_at			3.259	2.224
SauMu50ChORFSAV0845_s_at			4.337	3.26
SauMu50ChORFSAV0850_s_at			3.159	1.665
SauMu50ChORFSAV0851_s_at			3.785	2.768
SauMu50ChORFSAV0855_at			3.375	3.093
SauMu50ChORFSAV0857_s_at			2.111	2.152
SauMu50ChORFSAV0859_s_at			4.272	2.801
SauMu50ChORFSAV0860_s_at			4.447	2.803
SauMu50ChORFSAV0862_s_at			2.596	1.875
SauMu50ChORFSAV0869_at			2.546	1.716
SauMu50ChORFSAV0874_x_at			2.278	2
SauMu50ChORFSAV0875_x_at			2.215	2.367
SauMu50ChORFSAV0877_x_at			2.237	2.271
SauMu50ChORFSAV0878_s_at			3.346	2.088
SauMu50ChORFSAV0879_s_at			2.87	2.111
SauMu50ChORFSAV0881_at			2.42	2.263
SauMu50ChORFSAV0884_s_at			2.868	2.542
SauMu50ChORFSAV0885_s_at			2.449	2.297
SauMu50ChORFSAV0886_s_at			3.278	2.179
SauMu50ChORFSAV0888_s_at			3.181	2.425
SauMu50ChORFSAV0892_s_at			3.445	2.721
SauMu50ChORFSAV0894_s_at			4.62	3.064
SauMu50ChORFSAV0896_x_at			2.402	1.934
SauMu50ChORFSAV0898_s_at			2.359	2.573
SauMu50ChORFSAV0905_at			2.138	1.789
SauMu50ChORFSAV0907_at			3.458	2.472
SauMu50ChORFSAV0911_s_at			4.293	2.499
SauMu50ChORFSAV0913_at			2.035	1.88
SauMu50ChORFSAV0916_at			3.578	1.855
SauMu50ChORFSAV0917_at			5.063	4.207
SauMu50ChORFSAV0921_s_at			5.057	4.831
SauMu50ChORFSAV0924_s_at			3.645	2.664
SauMu50ChORFSAV0925_s_at			2.962	1.646
SauMu50ChORFSAV0927_s_at			2.875	2.074
SauMu50ChORFSAV0929_s_at			1.896	1.795
SauMu50ChORFSAV0930_s_at			2.838	3.018
SauMu50ChORFSAV0932_s_at			3.716	1.65
SauMu50ChORFSAV0936_s_at			3.484	2.685
SauMu50ChORFSAV0937_s_at			4.703	4.058
SauMu50ChORFSAV0938_s_at			2.528	2.515
SauMu50ChORFSAV0939_s_at			3.431	3.254
SauMu50ChORFSAV0940_s_at			2.873	2.82
SauMu50ChORFSAV0942_s_at			3.47	1.865
SauMu50ChORFSAV0944_s_at			2.389	2.138
SauMu50ChORFSAV0953_s_at			3.157	1.853
SauMu50ChORFSAV0958_s_at			3.636	2.016
SauMu50ChORFSAV0959_s_at			1.999	1.633
SauMu50ChORFSAV0960_s_at			2.987	2.492
SauMu50ChORFSAV0961_s_at			2.655	1.936
SauMu50ChORFSAV0968_s_at			3.421	2.432
SauMu50ChORFSAV0970_s_at			3.356	2.168
SauMu50ChORFSAV0972_s_at			3.217	2.64
SauMu50ChORFSAV0974_s_at			2.978	2.401
SauMu50ChORFSAV0975_s_at			2.581	2.093
SauMu50ChORFSAV0979_s_at			3.202	2.691
SauMu50ChORFSAV0986_s_at			2.733	2.051
SauMu50ChORFSAV0992_s_at			2.312	1.817
SauMu50ChORFSAV0997_s_at			2.334	1.966
SauMu50ChORFSAV1006_s_at			3.629	2.462
SauMu50ChORFSAV1007_s_at			2.419	2.489
SauMu50ChORFSAV1008_s_at			2.894	3.155
SauMu50ChORFSAV1011_s_at			2.453	2.471
SauMu50ChORFSAV1012_s_at			2.42	2.049
SauMu50ChORFSAV1013_s_at			2.778	1.707
SauMu50ChORFSAV1016_s_at			3.663	3.362
SauMu50ChORFSAV1018_s_at			2.548	2.2
SauMu50ChORFSAV1019_s_at			3.004	2.144
SauMu50ChORFSAV1020_x_at			2.278	2.574
SauMu50ChORFSAV1022_s_at			3.471	2.489
SauMu50ChORFSAV1023_s_at			3.674	2.905
SauMu50ChORFSAV1025_s_at			2.546	2.159
SauMu50ChORFSAV1027_s_at			2.072	2.084
SauMu50ChORFSAV1028_s_at			2.349	2.333
SauMu50ChORFSAV1032_s_at			2.646	1.752
SauMu50ChORFSAV1036_s_at			4.297	2.658
SauMu50ChORFSAV1037_s_at			3.569	2.417
SauMu50ChORFSAV1046_s_at			2.216	1.984
SauMu50ChORFSAV1049_s_at			2.469	2.459
SauMu50ChORFSAV1051_s_at			3.15	2.318
SauMu50ChORFSAV1056_s_at			2.32	2.145
SauMu50ChORFSAV1060_s_at			3.4	1.923
SauMu50ChORFSAV1061_s_at			3.1	1.704
SauMu50ChORFSAV1063_s_at			2.89	1.73
SauMu50ChORFSAV1064_s_at			2.342	1.704
SauMu50ChORFSAV1065_s_at			2.85	1.77
SauMu50ChORFSAV1070_s_at			2.869	2.212
SauMu50ChORFSAV1073_s_at			2.557	1.74
SauMu50ChORFSAV1075_s_at			3.509	2.048
SauMu50ChORFSAV1076_s_at			4.663	4.513
SauMu50ChORFSAV1081_s_at			2.737	1.745
SauMu50ChORFSAV1084_s_at			2.842	2.903
SauMu50ChORFSAV1088_s_at			2.38	1.943
SauMu50ChORFSAV1091_s_at			3.05	2.598
SauMu50ChORFSAV1094_s_at			4.138	2.564
SauMu50ChORFSAV1096_s_at			2.153	1.884
SauMu50ChORFSAV1097_s_at			4.411	2.417
SauMu50ChORFSAV1098_s_at			2.995	2.628
SauMu50ChORFSAV1100_s_at			1.821	1.854
SauMu50ChORFSAV1102_s_at			3.819	2.119
SauMu50ChORFSAV1104_s_at			2.901	1.768
SauMu50ChORFSAV1106_s_at			2.412	1.911
SauMu50ChORFSAV1108_s_at			2.794	1.716
SauMu50ChORFSAV1113_s_at			2.259	1.925
SauMu50ChORFSAV1119_s_at			3.118	1.962
SauMu50ChORFSAV1120_s_at			2.306	1.743
SauMu50ChORFSAV1125_s_at			3.846	2.879
SauMu50ChORFSAV1126_s_at			2.988	2.481
SauMu50ChORFSAV1127_s_at			2.332	1.683
SauMu50ChORFSAV1132_s_at			3.485	2.513
SauMu50ChORFSAV1137_s_at			1.956	1.894
SauMu50ChORFSAV1139_s_at			2.595	2.479
SauMu50ChORFSAV1144_s_at			2.647	2.243
SauMu50ChORFSAV1147_s_at			2.765	1.705
SauMu50ChORFSAV1152_s_at			2.661	2.464
SauMu50ChORFSAV1157_s_at			1.959	1.647
SauMu50ChORFSAV1161_s_at			2.866	1.858
SauMu50ChORFSAV1164_s_at			2.748	2.993
SauMu50ChORFSAV1171_s_at			3.362	2.638
SauMu50ChORFSAV1172_s_at			1.902	2.126
SauMu50ChORFSAV1177_s_at			1.775	1.654
SauMu50ChORFSAV1180_s_at			2.204	2.154
SauMu50ChORFSAV1181_s_at			2.451	2.249
SauMu50ChORFSAV1183_s_at			2.441	2.684
SauMu50ChORFSAV1184_s_at			3.13	2.841
SauMu50ChORFSAV1186_s_at			2.334	2.141
SauMu50ChORFSAV1188_s_at			2.613	2.009
SauMu50ChORFSAV1192_s_at			2.849	1.672
SauMu50ChORFSAV1197_s_at			2.259	1.942
SauMu50ChORFSAV1202_s_at			2.123	1.926
SauMu50ChORFSAV1207_s_at			4.078	2.134
SauMu50ChORFSAV1209_s_at			1.676	1.65
SauMu50ChORFSAV1210_s_at			2.161	2.108
SauMu50ChORFSAV1211_s_at			2.951	3.042
SauMu50ChORFSAV1212_s_at			2.127	2.098
SauMu50ChORFSAV1219_s_at			3.626	3.169
SauMu50ChORFSAV1220_s_at			4.243	2.307
SauMu50ChORFSAV1226_s_at			2.106	1.984
SauMu50ChORFSAV1231_s_at			3.033	2.821
SauMu50ChORFSAV1232_s_at			3.826	2.335
SauMu50ChORFSAV1240_s_at			2.152	2.357
SauMu50ChORFSAV1247_s_at			3.089	2.154
SauMu50ChORFSAV1249_s_at			3.654	2.501
SauMu50ChORFSAV1250_s_at			2.13	2.268
SauMu50ChORFSAV1251_s_at			2.628	1.849
SauMu50ChORFSAV1254_s_at			3.114	2.681
SauMu50ChORFSAV1255_s_at			2.891	3.065
SauMu50ChORFSAV1261_s_at			2.736	2.079
SauMu50ChORFSAV1263_s_at			2.089	2.2
SauMu50ChORFSAV1264_s_at			3.038	3.147
SauMu50ChORFSAV1265_s_at			3.691	3.095
SauMu50ChORFSAV1266_s_at			3.008	1.903
SauMu50ChORFSAV1270_s_at			2.573	2.367
SauMu50ChORFSAV1271_s_at			2.411	1.927
SauMu50ChORFSAV1272_s_at			3.739	3.004
SauMu50ChORFSAV1277_s_at			3.084	2.141
SauMu50ChORFSAV1278_s_at			2.239	2.472
SauMu50ChORFSAV1280_s_at			2.955	2.331
SauMu50ChORFSAV1282_s_at			2.766	2.69
SauMu50ChORFSAV1283_s_at			3.623	3.314
SauMu50ChORFSAV1284_s_at			2.963	2.716
SauMu50ChORFSAV1285_s_at			3.001	2.55
SauMu50ChORFSAV1286_s_at			2.889	1.881
SauMu50ChORFSAV1287_s_at			2.015	1.868
SauMu50ChORFSAV1288_s_at			2.568	2.639
SauMu50ChORFSAV1291_s_at			1.988	2.005
SauMu50ChORFSAV1292_s_at			2.286	2.339
SauMu50ChORFSAV1296_s_at			2.774	1.76
SauMu50ChORFSAV1297_s_at			2.897	2.109
SauMu50ChORFSAV1302_s_at			2.906	2.099
SauMu50ChORFSAV1303_s_at			2.722	1.837
SauMu50ChORFSAV1308_s_at			2.28	2.079
SauMu50ChORFSAV1310_s_at			2.252	2.343
SauMu50ChORFSAV1313_s_at			4.392	2.643
SauMu50ChORFSAV1314_s_at			2.644	1.834
SauMu50ChORFSAV1318_s_at			3.997	2.952
SauMu50ChORFSAV1322_s_at			2.359	2.189
SauMu50ChORFSAV1324_s_at			2.824	2.011
SauMu50ChORFSAV1326_s_at			2.81	1.771
SauMu50ChORFSAV1327_s_at			3.402	2.511
SauMu50ChORFSAV1328_s_at			2.231	2.051
SauMu50ChORFSAV1330_s_at			3.576	1.679
SauMu50ChORFSAV1332_s_at			2.679	2.71
SauMu50ChORFSAV1333_s_at			2.676	2.878
SauMu50ChORFSAV1336_s_at			2.579	1.808
SauMu50ChORFSAV1338_s_at			2.608	2.571
SauMu50ChORFSAV1340_s_at			1.974	1.809
SauMu50ChORFSAV1342_s_at			2.057	1.647
SauMu50ChORFSAV1343_s_at			2.244	1.789
SauMu50ChORFSAV1347_s_at			3.228	2.299
SauMu50ChORFSAV1349_s_at			3.06	1.912
SauMu50ChORFSAV1350_s_at			2.966	1.753
SauMu50ChORFSAV1351_s_at			4.896	4.497
SauMu50ChORFSAV1354_s_at			2.656	2.904
SauMu50ChORFSAV1356_s_at			2.321	2.241
SauMu50ChORFSAV1359_s_at			3.136	2.757
SauMu50ChORFSAV1360_s_at			2.449	2.418
SauMu50ChORFSAV1363_s_at			2.164	2.179
SauMu50ChORFSAV1366_s_at			2.466	2.223
SauMu50ChORFSAV1371_s_at			2.88	1.952
SauMu50ChORFSAV1372_s_at			3.213	2.904
SauMu50ChORFSAV1375_s_at			1.91	1.889
SauMu50ChORFSAV1379_s_at			2.582	2.059
SauMu50ChORFSAV1382_s_at			2.328	1.74
SauMu50ChORFSAV1384_s_at			3.371	2.576
SauMu50ChORFSAV1385_s_at			2.57	1.635
SauMu50ChORFSAV1387_s_at			3.395	2.345
SauMu50ChORFSAV1392_s_at			2.806	2.003
SauMu50ChORFSAV1394_s_at			3.091	2.285
SauMu50ChORFSAV1396_s_at			2.715	2.504
SauMu50ChORFSAV1400_s_at			1.986	2.004
SauMu50ChORFSAV1402_s_at			2.754	2.228
SauMu50ChORFSAV1406_s_at			3.492	2.371
SauMu50ChORFSAV1411_s_at			3.768	2.458
SauMu50ChORFSAV1413_s_at			3.689	3.346
SauMu50ChORFSAV1416_s_at			3.247	1.73
SauMu50ChORFSAV1420_s_at			2.964	3.031
SauMu50ChORFSAV1421_s_at			2.067	1.89
SauMu50ChORFSAV1422_s_at			3.918	2.229
SauMu50ChORFSAV1424_s_at			1.933	1.67
SauMu50ChORFSAV1425_s_at			2.946	2.702
SauMu50ChORFSAV1426_s_at			2.466	2.051
SauMu50ChORFSAV1427_s_at			3.38	3.446
SauMu50ChORFSAV1429_s_at			3.73	2.048
SauMu50ChORFSAV1432_s_at			2.471	2.03
SauMu50ChORFSAV1433_s_at			3.639	1.852
SauMu50ChORFSAV1438_s_at			2.657	1.853
SauMu50ChORFSAV1445_s_at			2.831	1.989
SauMu50ChORFSAV1450_s_at			2.281	2.264
SauMu50ChORFSAV1451_s_at			2.617	2.307
SauMu50ChORFSAV1452_s_at			3.303	3.145
SauMu50ChORFSAV1453_s_at			2.629	2.508
SauMu50ChORFSAV1454_s_at			3.93	2.897
SauMu50ChORFSAV1455_s_at			1.979	1.795
SauMu50ChORFSAV1457_s_at			2.249	2.138
SauMu50ChORFSAV1458_s_at			3.087	2.095
SauMu50ChORFSAV1462_s_at			3.176	1.946
SauMu50ChORFSAV1465_s_at			2.724	1.666
SauMu50ChORFSAV1470_s_at			2.244	2.034
SauMu50ChORFSAV1471_s_at			3.477	2.704
SauMu50ChORFSAV1473_s_at			4.023	2.204
SauMu50ChORFSAV1474_s_at			3.047	1.672
SauMu50ChORFSAV1475_s_at			3.096	2.221
SauMu50ChORFSAV1476_s_at			2.869	2.078
SauMu50ChORFSAV1478_s_at			3.767	2.717
SauMu50ChORFSAV1479_s_at			3.212	2.32
SauMu50ChORFSAV1480_s_at			3.385	2.368
SauMu50ChORFSAV1482_s_at			3.017	2.19
SauMu50ChORFSAV1486_s_at			2.491	1.859
SauMu50ChORFSAV1488_s_at			2.118	2.381
SauMu50ChORFSAV1491_s_at			2.402	1.761
SauMu50ChORFSAV1493_s_at			3.88	3.618
SauMu50ChORFSAV1495_s_at			3.83	2.165
SauMu50ChORFSAV1496_s_at			4.763	2.927
SauMu50ChORFSAV1498_s_at			3.667	2.649
SauMu50ChORFSAV1500_s_at			3.797	3.51
SauMu50ChORFSAV1501_s_at			3.996	2.525
SauMu50ChORFSAV1503_s_at			2.563	1.934
SauMu50ChORFSAV1505_s_at			2.516	2.25
SauMu50ChORFSAV1508_s_at			3.5	2.068
SauMu50ChORFSAV1510_s_at			3.738	3.604
SauMu50ChORFSAV1511_s_at			2.959	3.019
SauMu50ChORFSAV1514_s_at			2.81	2.883
SauMu50ChORFSAV1515_s_at			3.933	2.64
SauMu50ChORFSAV1517_s_at			2.073	2.194
SauMu50ChORFSAV1518_s_at			2.802	2.011
SauMu50ChORFSAV1521_s_at			3.242	2.324
SauMu50ChORFSAV1523_s_at			2.88	1.991
SauMu50ChORFSAV1524_s_at			2.571	1.809
SauMu50ChORFSAV1529_s_at			3.742	3.359
SauMu50ChORFSAV1530_s_at			3.061	1.783
SauMu50ChORFSAV1536_s_at			2.117	1.913
SauMu50ChORFSAV1537_s_at			2.451	2.654
SauMu50ChORFSAV1543_s_at			2.836	1.679
SauMu50ChORFSAV1547_s_at			3.666	2.754
SauMu50ChORFSAV1549_s_at			2.955	2.362
SauMu50ChORFSAV1552_s_at			2.375	1.745
SauMu50ChORFSAV1558_s_at			3.62	3.224
SauMu50ChORFSAV1559_s_at			2.721	1.687
SauMu50ChORFSAV1561_s_at			3.679	2.937
SauMu50ChORFSAV1563_s_at			3.643	2.461
SauMu50ChORFSAV1567_s_at			2.561	2.092
SauMu50ChORFSAV1568_s_at			3.006	1.795
SauMu50ChORFSAV1569_s_at			2.276	2.316
SauMu50ChORFSAV1570_s_at			3.313	1.847
SauMu50ChORFSAV1571_s_at			3.708	2.858
SauMu50ChORFSAV1573_s_at			2.331	2.438
SauMu50ChORFSAV1574_s_at			5.433	3.119
SauMu50ChORFSAV1575_s_at			3.28	2.704
SauMu50ChORFSAV1576_s_at			2.702	1.958
SauMu50ChORFSAV1579_s_at			3.504	2.657
SauMu50ChORFSAV1580_s_at			3.025	2.327
SauMu50ChORFSAV1583_s_at			3.449	2.338
SauMu50ChORFSAV1591_s_at			3.166	1.704
SauMu50ChORFSAV1592_s_at			3.486	2.16
SauMu50ChORFSAV1598_s_at			1.985	1.795
SauMu50ChORFSAV1599_s_at			3.034	3.204
SauMu50ChORFSAV1601_s_at			2.075	2.065
SauMu50ChORFSAV1608_s_at			2.727	2.355
SauMu50ChORFSAV1609_s_at			2.728	1.775
SauMu50ChORFSAV1610_s_at			2.81	1.932
SauMu50ChORFSAV1611_s_at			2.375	2.582
SauMu50ChORFSAV1612_s_at			2.687	2.887
SauMu50ChORFSAV1613_s_at			2.532	2.152
SauMu50ChORFSAV1617_s_at			2.171	1.794
SauMu50ChORFSAV1619_s_at			2.939	1.81
SauMu50ChORFSAV1624_s_at			3.688	2.866
SauMu50ChORFSAV1626_s_at			2.848	2.997
SauMu50ChORFSAV1627_s_at			3.752	3.494
SauMu50ChORFSAV1628_s_at			1.756	1.64
SauMu50ChORFSAV1635_s_at			3.543	2.419
SauMu50ChORFSAV1642_s_at			3.296	2.65
SauMu50ChORFSAV1644_s_at			1.939	2.061
SauMu50ChORFSAV1645_s_at			2.691	2.142
SauMu50ChORFSAV1646_s_at			2.679	1.971
SauMu50ChORFSAV1651_s_at			4.17	2.51
SauMu50ChORFSAV1660_s_at			3.999	2.196
SauMu50ChORFSAV1661_s_at			2.862	2.084
SauMu50ChORFSAV1664_s_at			3.086	2.765
SauMu50ChORFSAV1667_s_at			2.222	2.269
SauMu50ChORFSAV1673_s_at			3.026	2.154
SauMu50ChORFSAV1676_s_at			3.548	1.686
SauMu50ChORFSAV1677_s_at			2.2	1.761
SauMu50ChORFSAV1679_s_at			2.844	2.432
SauMu50ChORFSAV1680_s_at			3.145	2.24
SauMu50ChORFSAV1682_s_at			2.594	2.518
SauMu50ChORFSAV1683_s_at			2.319	1.797
SauMu50ChORFSAV1687_s_at			2.448	1.82
SauMu50ChORFSAV1690_s_at			2.18	1.794
SauMu50ChORFSAV1691_s_at			3.308	2.18
SauMu50ChORFSAV1692_s_at			2.201	2.263
SauMu50ChORFSAV1693_s_at			2.487	1.764
SauMu50ChORFSAV1694_s_at			2.893	2.415
SauMu50ChORFSAV1696_s_at			3.775	2.525
SauMu50ChORFSAV1697_s_at			2.354	1.867
SauMu50ChORFSAV1698_s_at			2.606	2.716
SauMu50ChORFSAV1702_s_at			2.961	1.753
SauMu50ChORFSAV1705_s_at			3.042	2.993
SauMu50ChORFSAV1710_s_at			2.806	1.777
SauMu50ChORFSAV1716_s_at			2.761	2.671
SauMu50ChORFSAV1718_s_at			4.845	2.807
SauMu50ChORFSAV1724_s_at			3.018	1.888
SauMu50ChORFSAV1726_s_at			2.193	2.253
SauMu50ChORFSAV1727_s_at			3.473	2.281
SauMu50ChORFSAV1728_s_at			1.956	1.706
SauMu50ChORFSAV1729_s_at			2.807	2.711
SauMu50ChORFSAV1732_s_at			1.884	1.791
SauMu50ChORFSAV1734_s_at			2.963	2.22
SauMu50ChORFSAV1736_s_at			2.901	2.343
SauMu50ChORFSAV1737_s_at			3.426	3.36
SauMu50ChORFSAV1742_s_at			2.126	2.125
